planet_ID,star_distance,star_mass_kg,star_radius_m,star_temperature,planet_mass_kg,planet_orbital_period,planet_distance,planet_surface_gravity
train44,863.037,1.8889893771631484e+30,640044000.0,5626.0,7.434865743982095e+25,3.75083228,0.046447841105535195,13.656735020797234
train45,199.173,1.829337081042207e+30,598302000.0,5316.0,5.1528659977568984e+25,3.039577,0.039943300102064885,6.201152501324053
train46,504.667,1.6503801926793823e+30,549603000.0,5212.0,7.591406721548958e+25,17.20523483,0.12258547144548361,9.375895135105031
train47,312.798,1.7299165875073044e+30,549603000.0,5192.0,3.460054513554045e+25,12.92491623,0.10290365722431369,8.185669161818808
train48,310.301,1.6901483900933434e+30,556560000.0,5203.0,4.12170025747458e+25,16.08066115,0.11811765331496794,7.022582643280433
train49,1168.26,1.9287575745771094e+30,660915000.0,5624.0,6.817090383081656e+26,4.28095859,0.0510807380696228,4.96495296412616
train50,1232.29,1.7299165875073044e+30,577431000.0,5373.0,3.01394800451244e+25,18.82747265,0.13223314754706597,11.2932275181172
train51,799.008,2.1275985616469148e+30,793097999.9999999,6087.0,6.921365066052925e+27,12.8345022,0.10973702432517309,52.65998859185142
train52,861.494,1.94864167328409e+30,667872000.0,5723.0,6.5398806145042175e+25,15.77979614,0.1223063066765963,15.237497655768538
train53,565.207,1.5907278965584408e+30,535689000.0,5066.0,1.3191222624408024e+27,22.18432708,0.1434498405798499,9.505287144114234
train54,506.965,2.465628239665583e+30,1001808000.0,6096.0,4.436082660193075e+26,3.646706,0.04981731276740692,6.552701971110292
train55,609.838,2.386091844837661e+30,786140999.9999999,6214.0,6.396373417003171e+25,4.2042001,0.05417786689794108,9.088076141509644
train56,561.929,1.988409870698051e+30,647001000.0,5765.0,3.557654403160012e+25,11.811437,0.10150974255812051,6.664568086109245
train57,1073.48,2.067946265525973e+30,723528000.0,5860.0,7.862722425446178e+27,41.805985,0.23885957458350374,82.84059482358485
train58,845.824,2.1872508577678563e+30,786140999.9999999,5943.0,4.028419682953363e+26,6.99692655,0.07391087427422856,7.393050636537293
train59,890.352,1.710032488800324e+30,570474000.0,5281.0,6.003465549933658e+25,1.26025909,0.02171593887532518,18.490005965183773
train60,1370.65,1.8492211797491874e+30,626130000.0,5601.0,7.973712263948663e+26,12.53248465,0.10307618544867429,4.445148960511818
train61,557.787,2.0082939694050315e+30,653958000.0,5653.0,2.8458518706464254e+26,22.24813967,0.15533720761708675,7.841701464319855
train62,1087.87,2.1275985616469148e+30,1078335000.0,5906.74,1.5230499169326232e+27,29.6663,0.19184158318371036,17.13491979970597
train63,1477.98,2.803657917684252e+30,1280088000.0,6626.0,6.235769944474417e+26,3.1414391,0.04707583535144528,8.405576004735334
train64,2497.51,1.9685257719910705e+30,681786000.0,5777.0,5.0140818256468966e+26,5.00731778,0.0570936403909658,14.747918073809014
train65,312.798,1.7299165875073044e+30,549603000.0,5192.0,4.242563760064144e+25,12.92491623,0.10290365722431369,18.998745750117838
train66,2097.12,2.2071349564748368e+30,807012000.0,6068.0,7.022347420593238e+26,3.70598955,0.048530677509168584,7.262684818189094
train67,462.322,1.829337081042207e+30,619173000.0,5524.0,8.300793495416146e+26,1.8270823,0.028449452770185717,3.778288798385609
train68,558.81,1.6702642913863629e+30,549603000.0,5148.0,1.8779654260308455e+25,16.54297375,0.11989692647410122,8.542617411598545
train69,504.667,1.6503801926793823e+30,549603000.0,5212.0,5.482240764576591e+26,17.20523483,0.12258547144548361,7.740430916082942
train70,311.175,1.2924664159537332e+30,438291000.0,4286.0,7.514313499010926e+26,12.3764661,0.0907140989340298,5.197816516025241
train71,603.955,2.6843533254423687e+30,1217475000.0,6147.0,4.054396290595379e+25,3.5862202,0.05068060518858708,16.79855293842609
train72,350.351,4.4142699129496736e+30,1433142000.0,6820.0,4.398142635345054e+26,2.69155,0.04940359209270483,4.173122833642531
train73,651.897,2.5849328319074664e+30,1210518000.0,6457.0,4.298112225426335e+25,4.007232,0.053891053851744426,11.610563498742437
train74,624.575,1.6702642913863629e+30,556560000.0,5222.0,4.673956742891464e+25,23.58914398,0.15189394108134185,9.198637881814575
train75,748.585,2.1872508577678563e+30,918324000.0,5702.0,7.469487807490869e+25,2.5441828,0.03765323871685294,5.1652366821262365
train76,1076.28,2.0878303642329535e+30,737442000.0,5901.0,4.977605539802363e+25,27.6655226,0.18196795724178713,8.466659001184503
train77,651.897,2.5849328319074664e+30,1210518000.0,6457.0,5.717699968939611e+26,4.007232,0.053891053851744426,4.3011994028450795
train78,2805.48,1.749800686214285e+30,591345000.0,5485.0,4.642194230097056e+26,4.40840023,0.05042595548119656,4.679028964034035
train79,831.842,1.7696847849212654e+30,598302000.0,5441.0,9.576925458437111e+27,5.15448442,0.056177109665238034,89.7849578542498
train80,369.888,1.8492211797491874e+30,765270000.0000001,5724.0,3.6746728873264384e+25,14.647531,0.11436939783261232,10.271664473812201
train81,984.307,2.5849328319074664e+30,1036593000.0,6424.0,4.223403533387559e+25,40.6994443,0.25274311759305007,10.895437764625209
train82,12.5855,1.8094529823352264e+30,653958000.0,5172.0,3.353841234606344e+26,0.7365474,0.015468688679671161,8.09286909575319
train83,1131.73,1.8094529823352264e+30,612216000.0,5518.0,7.45215017831477e+26,22.36656079,0.15056331619297572,7.743486277671217
train84,263.609,1.4515392056095773e+30,500904000.0,4546.0,4.65916329030125e+26,3.1316666,0.03772221634301644,3.196427376718682
train85,772.11,2.5252805357865246e+30,911367000.0,6450.0,7.325833085676874e+25,4.1876244,0.05506626526469671,10.203105532914307
train86,750.177,2.1872508577678563e+30,876582000.0,6007.0,1.978083913722602e+26,8.02511821,0.08098496925999361,4.323977906120343
train87,1139.55,1.7299165875073044e+30,640044000.0,5311.0,5.517986843550564e+26,1.74748753,0.0271074319107939,7.531731421932853
train88,738.519,2.4059759435446416e+30,1294002000.0,5835.0,6.153832163507423e+25,2.6054552,0.03949026952961838,17.600606018219217
train89,1445.53,1.94864167328409e+30,667872000.0,5693.0,3.6018357684116278e+25,3.72215641,0.04669220019185741,15.95225971645505
train90,792.336,1.7696847849212654e+30,591345000.0,5322.0,5.714850008564112e+25,8.70419416,0.07966268682994028,20.120194384305094
train91,1168.26,1.9287575745771094e+30,660915000.0,5624.0,1.2832777768399296e+26,4.28095859,0.0510807380696228,6.937289579178689
train92,1954.08,1.988409870698051e+30,688743000.0,5723.0,3.8709036233362616e+26,6.57531678,0.06869371779099794,8.055815517068629
train93,389.0,1.4316551069025968e+30,473076000.00000006,4521.0,5.860164022072482e+27,2.62811375,0.03340766885661294,47.7590015201161
train94,1159.31,2.1474826603538953e+30,786140999.9999999,6062.0,4.518905241707269e+25,15.28469497,0.12367587842278026,6.752279247532573
train95,624.368,2.067946265525973e+30,709614000.0,5600.0,5.662434418938614e+26,0.83784,0.017623455839736093,9.379555573206677
train96,619.723,1.6702642913863629e+30,563517000.0,5279.0,4.623269325202412e+26,23.67517607,0.15226303241092856,8.2307686322374
train97,722.64,1.5708437978514603e+30,514818000.0,4870.0,6.458958063415329e+26,17.671796,0.12275392607576734,4.794753093239083
train98,1058.24,2.1673667590608758e+30,765270000.0000001,6014.0,2.8240145881754638e+25,7.97419807,0.08039692031525686,7.577334681072335
train99,624.368,2.067946265525973e+30,709614000.0,5600.0,1.856783874579945e+26,0.83784,0.017623455839736093,5.637774634702869
train100,440.089,1.94864167328409e+30,723528000.0,5449.0,9.130883369750851e+26,4.2180278,0.05075212350599319,6.12513616512015
train101,337.901,1.908873475870129e+30,612216000.0,5842.0,5.286399502805444e+26,8.51203588,0.0804918561785385,5.651095556067788
train102,386.177,1.8094529823352264e+30,980937000.0,5746.0,1.9162379876295646e+25,19.55659418,0.13767291703169943,13.988580321128238
train103,440.089,1.94864167328409e+30,723528000.0,5449.0,5.813773689678125e+25,4.2180278,0.05075212350599319,11.239042352399487
train104,776.708,1.908873475870129e+30,660915000.0,5630.0,1.546720046842417e+25,17.58752333,0.13057682460717002,10.66300639096941
train105,799.008,1.988409870698051e+30,827883000.0,6078.0,1.2687576876265994e+26,35.86619949,0.21286102099580217,6.166018721418773
train106,1848.84,2.3264395487167196e+30,862668000.0,6195.0,6.579476191803083e+26,35.1810304,0.22143191967237003,7.556538364716001
train107,127.589,1.4515392056095773e+30,500904000.0,4656.1,2.340564818186155e+25,7.3279474,0.06648674678629633,13.257296213046628
train108,440.089,1.94864167328409e+30,723528000.0,5449.0,7.081476909891451e+26,4.2180278,0.05075212350599319,4.07371773386342
train109,888.027,2.0480621668189925e+30,862668000.0,6075.0,5.881062994446742e+25,5.16950177,0.059095004251287116,9.460826052750594
train110,682.896,1.8889893771631484e+30,633087000.0,5612.0,5.91327589541381e+26,7.65880414,0.07475743842255102,4.931604350733396
train111,1210.12,2.0082939694050315e+30,709614000.0,5754.0,3.1765845240733885e+26,2.52559332,0.036418493154394875,7.9995699966321006
train112,338.84,1.988409870698051e+30,653958000.0,5587.0,6.7502534152424e+26,1.90231289,0.03004880473876959,6.852682705286459
train113,1954.08,1.988409870698051e+30,688743000.0,5723.0,6.800232366711602e+25,6.57531678,0.06869371779099794,8.331241417881971
train114,274.767,1.3521187120746747e+30,452205000.0,4346.0,8.325059404883731e+25,5.74772501,0.05522548347340882,16.225996336940224
train115,1416.44,2.107714462939934e+30,751356000.0,5903.0,9.05910561668957e+25,4.19042557,0.05186964515398012,11.510059221205704
train116,531.944,1.7299165875073044e+30,577431000.0,5322.0,6.48421566719433e+26,8.60010411,0.07842986325339454,6.291716402644127
train117,1060.97,2.2667872525957778e+30,1120077000.0,5900.0,5.8119947840568316e+26,3.6313,0.048303908312245784,5.6488570382574315
train118,467.375,2.3264395487167196e+30,904410000.0,5997.0,2.2812381351883765e+26,34.43587975,0.21829408938906775,10.066871021044012
train119,884.378,2.1474826603538953e+30,939195000.0000001,5849.0,1.723179700630019e+26,3.03214559,0.04206754679430073,5.137288660886701
train120,528.825,2.0480621668189925e+30,751356000.0,5693.0,4.7413450516054435e+26,3.3326414,0.044100552736008956,12.52972801522724
train121,298.64,2.505396437079544e+30,918324000.0,6330.0,5.44145813932937e+26,3.128992,0.045223661107898376,12.698049731397601
train122,663.418,1.9287575745771094e+30,660915000.0,5683.0,1.619576594763186e+26,13.02365861,0.10724699891734488,6.316024809334659
train123,524.247,1.5509596991444798e+30,507861000.0,4984.0,4.9325596930625675e+26,25.69578251,0.1568840048202638,6.999714796022617
train124,787.909,1.8889893771631484e+30,772227000.0000001,5950.0,1.405405933632681e+26,1.5089557,0.025312289535147775,5.028827717056674
train125,558.517,1.6503801926793823e+30,549603000.0,5127.0,2.9774734823907707e+25,15.65562652,0.11510978252179094,9.926776939603865
train126,639.239,3.0621512008749986e+30,1377486000.0,6392.0,6.828137412669836e+26,38.58422849,0.2580790126580324,8.157488720675477
train127,299.389,1.1930459224188305e+30,403506000.0,3776.9,7.482685677665894e+26,1.73185606,0.02380660760300514,4.572314216404734
train128,229.518,1.5111915017305188e+30,480032999.99999994,4803.0,2.720513244319668e+25,4.7228124,0.05027794999892334,13.817157457101453
train129,228.439,2.3662077461306806e+30,827883000.0,6236.0,2.947405611162412e+25,6.8834055,0.07505111082440025,14.816889084890889
train130,347.85,1.869105278456168e+30,660915000.0,5295.0,6.00607308097729e+26,4.301219,0.050707969762566946,5.50201645682305
train131,1076.28,2.0878303642329535e+30,737442000.0,5901.0,2.2590397244008393e+26,27.6655226,0.18196795724178713,6.730470525600982
train132,674.598,1.988409870698051e+30,681786000.0,5740.0,2.764213410396121e+25,11.72292176,0.10100196244303897,7.878616121957957
train133,748.188,2.1872508577678563e+30,820926000.0,6117.0,7.5898926192302e+26,14.58649607,0.12061577612414506,11.431674189972423
train134,992.071,1.789568883628246e+30,598302000.0,5419.0,2.953201020057407e+26,10.52629406,0.0907619329370575,7.947329390194294
train135,289.205,2.2469031538887973e+30,953109000.0000001,6001.0,3.204822962097563e+26,2.1500082,0.033959304970241126,7.258661270882696
train136,244.59,1.9287575745771094e+30,681786000.0,5617.0,4.5584001335443955e+26,13.339079,0.10897169569807252,6.533932898190135
train137,612.803,1.749800686214285e+30,577431000.0,5296.0,2.925644585533064e+26,16.54964934,0.12180337513319968,3.7965901583584487
train138,1591.04,2.2866713513027586e+30,848754000.0,6125.0,2.1351705517290407e+26,4.28686431,0.05411259227234442,5.522854518574015
train139,750.177,2.1872508577678563e+30,876582000.0,6007.0,5.478347145359268e+26,8.02511821,0.08098496925999361,12.164522843573774
train140,973.121,2.0480621668189925e+30,723528000.0,5894.0,5.748908514598087e+25,16.21775407,0.12664229813800418,11.136756806627277
train141,557.787,2.0082939694050315e+30,653958000.0,5653.0,1.9721221231385774e+27,22.24813967,0.15533720761708675,20.35898892213911
train142,1157.21,1.6901483900933434e+30,542646000.0,5326.0,5.227938026814599e+25,6.10485286,0.061929229538158125,11.362076438436855
train143,916.706,1.789568883628246e+30,598302000.0,5418.0,7.439362766368247e+25,20.83424726,0.1430776989394676,11.592913664329952
train144,658.924,1.710032488800324e+30,577431000.0,5346.0,3.0283681727894843e+25,3.41303622,0.0421922464903105,18.770738620243318
train145,361.155,1.7696847849212654e+30,619173000.0,5131.0,6.57659014973583e+26,2.7535953,0.036985881831806046,6.693815518117356
train146,728.525,1.829337081042207e+30,591345000.0,5266.0,2.250428956888089e+25,4.03046804,0.04821018870290645,9.113030628327232
train147,1921.15,1.869105278456168e+30,633087000.0,5633.0,5.238450460809416e+25,3.16635371,0.04134168156980325,18.87798571191852
train148,9.75321,9.34552639228084e+29,320022000.0,3586.11,9.260904159318378e+25,2.64388312,0.02909600449279657,7.451083153632723
train149,321.296,2.0878303642329535e+30,1189647000.0,5430.0,5.109142239930214e+26,3.5951,0.04668488760114418,12.432309728213328
train150,531.944,1.7299165875073044e+30,577431000.0,5322.0,2.4119963883062967e+26,8.60010411,0.07842986325339454,7.477802182669639
train151,658.924,1.710032488800324e+30,577431000.0,5346.0,1.139804587365402e+28,3.41303622,0.0421922464903105,54.429297352945994
train152,1032.23,1.94864167328409e+30,633087000.0,5650.0,6.467108856682216e+26,9.06005,0.08448928910456745,4.262025819332903
train153,757.044,1.9287575745771094e+30,862668000.0,5738.0,3.3891464683534047e+25,2.686502,0.03744161656038865,11.735554094965615
train154,1770.27,2.107714462939934e+30,751356000.0,5935.0,4.5351097383627884e+26,14.5596237,0.11898931286727198,7.748211177638807
train155,643.009,1.8492211797491874e+30,570474000.0,5138.5,4.7000428672407245e+25,25.3029092,0.16465712266317703,8.994425536209445
train156,746.138,2.306555450009739e+30,813969000.0,6357.0,1.1014054987059637e+26,3.142702,0.04412255964014867,5.908390443878979
train157,721.027,1.5708437978514603e+30,521775000.0,5009.0,9.341543665341701e+25,17.31716585,0.12110613449393168,8.882708778863403
train158,2063.41,2.2866713513027586e+30,834840000.0,6038.0,5.443996483661634e+26,4.12554687,0.05274640497272799,8.442541461610016
train159,623.232,1.8492211797491874e+30,744399000.0,5627.0,3.3815273988146454e+25,3.0566527,0.04023749616778469,6.774137201957343
train160,991.336,1.789568883628246e+30,598302000.0,5440.0,1.6666133668595035e+25,21.81293494,0.14752404331514324,9.057331011272266
train161,790.663,2.4059759435446416e+30,1147905000.0,6090.0,5.332183410307844e+26,3.89713,0.05164928177015824,4.615812036045754
train162,786.091,3.260992187944803e+30,1780992000.0,6096.0,8.088385327900532e+26,23.20584623,0.1877812059794244,5.619164511186773
train163,312.798,1.7299165875073044e+30,549603000.0,5192.0,8.940939076534548e+27,12.92491623,0.10290365722431369,92.87240627040708
train164,1780.38,2.067946265525973e+30,723528000.0,5849.0,1.8762149816896082e+27,9.93143556,0.09162029804880104,18.730350506926612
train165,674.598,1.988409870698051e+30,681786000.0,5740.0,3.3436779377063884e+25,11.72292176,0.10100196244303897,10.831786554772247
train166,658.924,1.710032488800324e+30,577431000.0,5346.0,6.088308937583994e+25,3.41303622,0.0421922464903105,12.112078709917844
train167,773.974,2.5252805357865246e+30,1300959000.0,6050.0,6.1567114678840644e+26,3.37796,0.047717404148854635,5.206773316105197
train168,1232.29,1.7299165875073044e+30,577431000.0,5373.0,2.486352928116205e+25,18.82747265,0.13223314754706597,14.22714906287339
train169,799.008,2.1275985616469148e+30,793097999.9999999,6087.0,5.927981135579115e+25,12.8345022,0.10973702432517309,4.4505941491108825
train170,142.751,1.4515392056095773e+30,486989999.99999994,4650.0,1.02250020643022e+26,3.2130598,0.03837302708346637,7.889379532798109
train171,623.232,1.8492211797491874e+30,744399000.0,5627.0,3.0132950038587998e+26,3.0566527,0.04023749616778469,5.954796397848265
train172,787.894,1.829337081042207e+30,619173000.0,5549.0,5.301464737649264e+26,10.94027841,0.09381107074808118,8.2159943671684
train173,534.889,2.1872508577678563e+30,765270000.0000001,5880.0,2.744515681008912e+25,3.312846,0.04489909921558796,13.02684339229593
train174,338.84,1.988409870698051e+30,653958000.0,5587.0,4.909341346284347e+25,1.90231289,0.03004880473876959,15.495083956083741
train175,1071.8,1.829337081042207e+30,619173000.0,5539.0,5.4982151022556245e+26,4.08227507,0.048622433019696716,5.187305146124693
train176,344.05,2.6048169306144467e+30,967022999.9999999,6065.0,5.5569556320009124e+26,5.00542,0.0626647554817102,7.5814730213993995
train177,635.009,1.6503801926793823e+30,542646000.0,5099.0,5.8949511770586434e+26,10.37168453,0.087477856126999,9.820377740570375
train178,464.469,2.0480621668189925e+30,1349658000.0,6080.0,6.480002877888519e+25,4.45724,0.05353391300642356,12.222570945737894
train179,1087.87,2.1275985616469148e+30,1078335000.0,5906.74,3.8466508916198557e+25,29.6663,0.19184158318371036,14.809261497874733
train180,2083.37,2.1673667590608758e+30,779184000.0000001,5995.0,2.620458477495481e+27,8.09888799,0.08123284470652561,14.375249021345754
train181,1148.93,2.1673667590608758e+30,702657000.0,5945.0,3.0985844319261505e+26,4.03519,0.051053328227618947,5.545712980131816
train182,1126.37,2.1474826603538953e+30,779184000.0000001,5675.0,6.610787519207724e+25,2.828042,0.04015790576356111,23.7780414535962
train183,613.179,1.8492211797491874e+30,633087000.0,5564.0,5.012237030370325e+27,18.49235668,0.13359649316185085,64.73514834440863
train184,969.918,2.028178068112012e+30,786140999.9999999,5713.0,4.909323114168482e+26,9.48961571,0.08830901529669967,3.382328269299789
train185,2805.48,1.749800686214285e+30,591345000.0,5485.0,5.027451110943091e+25,4.40840023,0.05042595548119656,20.70437432737111
train186,651.897,2.5849328319074664e+30,1210518000.0,6457.0,7.777960901752874e+26,4.007232,0.053891053851744426,6.772644361875508
train187,1131.73,1.8094529823352264e+30,612216000.0,5518.0,3.4292845937834796e+25,22.36656079,0.15056331619297572,7.683344553336814
train188,1148.93,2.1673667590608758e+30,702657000.0,5945.0,6.181723072797173e+26,4.03519,0.051053328227618947,3.70168861426873
train189,633.66,1.5310756004374993e+30,507861000.0,4841.0,5.429944390677066e+26,20.50586978,0.13439659719702146,6.681621631754312
train190,623.901,2.1872508577678563e+30,758313000.0,6112.0,4.242474895965136e+26,19.67416124,0.14724287218080034,3.4738288682124154
train191,361.155,1.7696847849212654e+30,619173000.0,5131.0,5.609137240232698e+26,2.7535953,0.036985881831806046,4.444500729287759
train192,1705.99,2.1275985616469148e+30,765270000.0000001,5934.0,1.5015943843280893e+28,7.40742793,0.07606977239549706,167.1027164400377
train193,451.769,1.1135095275909087e+30,466119000.0,4114.0,4.823979045753956e+25,5.29711,0.049022400216556024,30.377984290143768
train194,595.634,2.028178068112012e+30,827883000.0,5665.0,7.911217021118195e+25,14.70748976,0.11826738515202677,6.903180011576607
train195,918.21,1.749800686214285e+30,584388000.0,5355.0,5.866022090261218e+26,3.72873109,0.04509975345524754,8.263590161456097
train196,565.207,1.5907278965584408e+30,535689000.0,5066.0,2.5885377550895336e+27,22.18432708,0.1434498405798499,18.68783809375053
train197,635.009,1.6503801926793823e+30,542646000.0,5099.0,7.759838101767113e+26,10.37168453,0.087477856126999,5.384607948360226
train198,1156.83,2.3463236474237e+30,883539000.0,6185.0,6.434609987334854e+26,4.58352176,0.057068891268650924,13.694077496447305
train199,47.2899,1.710032488800324e+30,598302000.0,5261.0,1.0687358995571822e+28,8.509,0.07757546734253083,127.90526536729803
train200,853.977,1.9287575745771094e+30,660915000.0,5710.0,5.659752961372613e+26,9.37891944,0.08616515684136672,9.738914137384565
train201,1445.53,1.94864167328409e+30,667872000.0,5693.0,2.2742555987845558e+25,3.72215641,0.04669220019185741,13.976010875234504
train202,916.706,1.789568883628246e+30,598302000.0,5418.0,7.478734533975053e+26,20.83424726,0.1430776989394676,6.964215257205798
train203,945.775,1.94864167328409e+30,674829000.0,5753.0,1.2966369907268054e+28,9.99761851,0.09022196886790314,95.10223425967702
train204,945.775,2.107714462939934e+30,681786000.0,6004.0,6.017510404468029e+25,51.06740189,0.27468632035148344,9.131432754417789
train205,612.803,1.749800686214285e+30,577431000.0,5296.0,1.771810977627662e+27,16.54964934,0.12180337513319968,19.069510013770177
train206,1173.57,2.2469031538887973e+30,841797000.0,6170.0,7.575053768374883e+26,3.27582262,0.0449654523993168,10.977662913909448
train207,386.177,1.8094529823352264e+30,980937000.0,5746.0,4.0380036526712174e+26,19.55659418,0.13767291703169943,6.775483329269044
train208,722.64,1.5708437978514603e+30,514818000.0,4870.0,4.709688042174769e+25,17.671796,0.12275392607576734,9.323761224174138
train209,222.663,5.269286157349835e+30,1266174000.0,6600.0,4.858044437242779e+25,4.62767,0.0752135545335673,12.416697260489878
train210,298.64,2.505396437079544e+30,918324000.0,6330.0,5.891924434022044e+26,3.128992,0.045223661107898376,8.686067941410117
train211,81.7647,2.2469031538887973e+30,772227000.0000001,5302.0,2.1206985113984817e+26,3.21222,0.04438152661487046,8.237124591325662
train212,774.152,1.749800686214285e+30,584388000.0,5343.0,5.1018704777656144e+26,10.35533177,0.08910651740312504,15.427807760875504
train213,658.924,1.710032488800324e+30,577431000.0,5346.0,3.9865536046602735e+27,3.41303622,0.0421922464903105,48.06878003748492
train214,372.632,2.6247010293214275e+30,1106163000.0,6202.0,6.786184064086058e+25,6.180235,0.07230481251094438,6.2280174638488734
train215,322.037,1.749800686214285e+30,535689000.0,5080.0,6.190402012081355e+25,6.21229,0.06338229190450637,5.7539464194428955
